1529
BUS;2_2505;-1794515;48101630;Bouleaux;bouleaux;
BUS;2_2506;-1791249;48099311;Genêts;genets;
BUS;2_2509;-1764720;48096141;Pont d'Avoine;pontdavoine;
BUS;2_2503;-1801391;48098951;Champs Freslons;champsfreslons;
BUS;2_2504;-1796938;48098971;Brassens;brassens;
BUS;2_2501;-1832303;48102447;Noë Diolé;noediole;
BUS;2_2502;-1806571;48100552;Lycée Monod;lyceemonod;
BUS;2_2915;-1698320;48041332;Collège Pôle Sud;collegepolesud;
BUS;2_2914;-1697082;48036919;Vieux Bourg;vieuxbourg;
BUS;2_2913;-1699502;48034659;Cornouaille;cornouaille;
BUS;2_2912;-1706325;48035513;Argoat;argoat;
BUS;2_2919;-1707466;48042292;Chartres Centre;chartrescentre;
BUS;2_2702;-1697635;48068298;Vallon;vallon;
BUS;2_2918;-1711058;48042013;Callouët;callouet;
BUS;2_2701;-1701077;48058971;Janais;janais;
BUS;2_2917;-1706499;48042303;Chartres Centre;chartrescentre;
BUS;2_2916;-1702622;48041647;Auditoire;auditoire;
BUS;2_2706;-1670712;48038417;Molène;molene;
BUS;2_2705;-1659808;48028982;Bray;bray;
BUS;2_2704;-1701190;48059377;Janais;janais;
BUS;2_4003;-1534912;48134195;Acigné Mairie;acignemairie;
BUS;2_2911;-1707288;48033194;Parc de Loisirs;parcdeloisirs;
BUS;2_4002;-1533049;48136960;Verdaudais;verdaudais;
BUS;2_2709;-1661261;48044096;Salle Polyvalente;sallepolyvalente;
BUS;2_4001;-1526375;48137019;Timonière;timoniere;
BUS;2_2708;-1665655;48042398;Centre;centre;
BUS;2_2707;-1671938;48040802;Potiers;potiers;
BUS;2_2538;-1787379;48102270;Gaston Bardet;gastonbardet;
BUS;2_2537;-1787350;48102407;Gaston Bardet;gastonbardet;
BUS;2_2530;-1772156;48078792;Haut Plessis;hautplessis;
BUS;2_2928;-1708867;48031445;Constant Mérel;constantmerel;
BUS;2_2733;-1664090;48034870;Côteaux;coteaux;
BUS;2_2927;-1707394;48033171;Parc de Loisirs;parcdeloisirs;
BUS;2_2732;-1666803;48038657;Pont;pont;
BUS;2_2734;-1663498;48034398;Côteaux;coteaux;
BUS;2_2924;-1706109;48035495;Argoat;argoat;
BUS;2_2923;-1699775;48034702;Cornouaille;cornouaille;
BUS;2_2926;-1696133;48041672;Collège Pôle Sud;collegepolesud;
BUS;2_2731;-1665972;48042944;Centre;centre;
BUS;2_2925;-1711621;48033092;Chaussairie;chaussairie;
BUS;2_2730;-1664703;48046240;Croix de Pierre;croixdepierre;
BUS;2_2920;-1702882;48041582;Auditoire;auditoire;
BUS;2_4712;-1691359;47974815;Estuaires;estuaires;
BUS;2_2922;-1697134;48037052;Vieux Bourg;vieuxbourg;
BUS;2_2921;-1697762;48041255;Collège Pôle Sud;collegepolesud;
BUS;2_4711;-1691403;47975393;Estuaires;estuaires;
BUS;2_4710;-1693152;47979865;Bout de Lande;boutdelande;
BUS;2_4901;-1853626;48245147;Langan Bourg;langanbourg;
BUS;2_4900;-1853798;48244847;Langan Bourg;langanbourg;
BUS;2_2529;-1774445;48080304;Moigné;moigne;
BUS;2_2525;-1771251;48078460;Haut Plessis;hautplessis;
BUS;2_2526;-1774449;48080349;Moigné;moigne;
BUS;2_2523;-1773980;48094071;Mahomat;mahomat;
BUS;2_2524;-1785575;48091347;Gerhoui;gerhoui;
BUS;2_2521;-1786892;48091023;Gerhoui;gerhoui;
BUS;2_2522;-1773989;48094017;Mahomat;mahomat;
BUS;2_2520;-1831051;48102444;Noë Diolé;noediole;
BUS;2_2724;-1659792;48028640;Bray;bray;
BUS;2_2723;-1670628;48038398;Molène;molene;
BUS;2_2722;-1672120;48040771;Potiers;potiers;
BUS;2_4709;-1693072;47979925;Bout de Lande;boutdelande;
BUS;2_2721;-1665579;48042446;Centre;centre;
BUS;2_4708;-1730909;47980092;Gingouillère;gingouillere;
BUS;2_2720;-1661354;48044083;Salle Polyvalente;sallepolyvalente;
BUS;2_4707;-1724331;47979287;Châtaigneraie;chataigneraie;
BUS;2_4706;-1724314;47979190;Châtaigneraie;chataigneraie;
BUS;2_4705;-1719683;47977983;Laillé Eglise;lailleeglise;
BUS;2_4704;-1720410;47978117;Laillé Eglise;lailleeglise;
BUS;2_4703;-1717174;47975507;Orée du Bois;oreedubois;
BUS;2_4702;-1717110;47975432;Orée du Bois;oreedubois;
BUS;2_4701;-1712987;47978606;Point du Jour;pointdujour;
BUS;2_2930;-1709196;48031215;Constant Mérel;constantmerel;
BUS;2_2729;-1664752;48046950;Croix de Pierre;croixdepierre;
BUS;2_4700;-1713688;47978437;Point du Jour;pointdujour;
BUS;2_2728;-1666146;48042631;Centre;centre;
BUS;2_2727;-1666568;48038423;Pont;pont;
BUS;2_2726;-1676731;48039646;Guyomerais;guyomerais;
BUS;2_2725;-1676471;48039594;Guyomerais;guyomerais;
BUS;2_4602;-1629056;48214314;Fonderies;fonderies;
BUS;2_3918;-1699129;48007120;Rue des Oiseaux;ruedesoiseaux;
BUS;2_1594;-1713424;48121102;Kennedy Guyenne;kennedyguyenne;
BUS;2_4603;-1626023;48210954;Pommiers;pommiers;
BUS;2_1593;-1712905;48103428;Cleunay;cleunay;
BUS;2_4604;-1625874;48210087;Pommiers;pommiers;
BUS;2_4605;-1628782;48214424;Fonderies;fonderies;
BUS;2_1591;-1693679;48098909;Jules Verne;julesverne;
BUS;2_3914;-1701027;48010384;Mouton Blanc;moutonblanc;
BUS;2_1590;-1693539;48098899;Jules Verne;julesverne;
BUS;2_3913;-1703044;48012963;Chemin Vert;cheminvert;
BUS;2_4601;-1630460;48211717;Chevaigné Mairie;chevaignemairie;
BUS;2_3915;-1698152;48005532;Caliorne;caliorne;
BUS;2_3910;-1705198;48016942;Fontaine Blanche;fontaineblanche;
BUS;2_3912;-1706468;48010824;Pont Péan Mairie;pontpeanmairie;
BUS;2_3911;-1707648;48013671;Rivaudière;rivaudiere;
BUS;2_2430;-1639552;48176045;Betton Rue de Rennes;bettonruederennes;
BUS;2_4606;-1630263;48211932;Chevaigné Mairie;chevaignemairie;
BUS;2_4607;-1630803;48207648;Chevaigné Gare;chevaignegare;
BUS;2_1179;-1655848;48116984;Jeanne d'Arc;jeannedarc;
BUS;2_4608;-1630648;48207870;Chevaigné Gare;chevaignegare;
BUS;2_1178;-1643864;48120783;Beaulieu Cité U.;beaulieuciteu;
BUS;2_4609;-1627579;48199175;Chopinais;chopinais;
BUS;2_1177;-1640286;48121879;Beaulieu Restau. U.;beaulieurestauu;
BUS;2_3711;-1819939;48154133;Vigne;vigne;
BUS;2_2425;-1625084;48163814;Tihouït;tihouit;
BUS;2_1186;-1688159;48118532;Anatole France;anatolefrance;
BUS;2_3712;-1824796;48150679;Pont aux Moines;pontauxmoines;
BUS;2_2424;-1622195;48170985;Champ Giron;champgiron;
BUS;2_1187;-1698258;48114028;Maison Diocésaine;maisondiocesaine;
BUS;2_2427;-1622037;48170405;Champ Giron;champgiron;
BUS;2_1184;-1681589;48117171;Dinan;dinan;
BUS;2_3714;-1829825;48152493;Saint-Gilles Centre;saintgillescentre;
BUS;2_2426;-1624912;48164163;Tihouït;tihouit;
BUS;2_1185;-1684845;48117679;Legraverend;legraverend;
BUS;2_2421;-1651206;48179227;Omblais;omblais;
BUS;2_1182;-1665058;48116250;George Sand;georgesand;
BUS;2_2420;-1652137;48180606;Brocéliande;broceliande;
BUS;2_1183;-1678550;48117355;Hôtel Dieu;hoteldieu;
BUS;2_2423;-1622895;48175428;Cour Neuve;courneuve;
BUS;2_1180;-1659329;48116161;Balzac;balzac;
BUS;2_3710;-1810469;48153564;Fouaye;fouaye;
BUS;2_2422;-1615985;48182243;Petite Hublais;petitehublais;
BUS;2_1181;-1662589;48116194;Musset Cité U.;mussetciteu;
BUS;2_1588;-1703694;48098019;Jules Maniez;julesmaniez;
BUS;2_1589;-1703985;48097935;Jules Maniez;julesmaniez;
BUS;2_3715;-1834034;48153744;Clos des Cerisiers;closdescerisiers;
BUS;2_2429;-1616215;48182098;Petite Hublais;petitehublais;
BUS;2_1586;-1694519;48131541;Beauregard;beauregard;
BUS;2_2428;-1622864;48175538;Cour Neuve;courneuve;
BUS;2_1587;-1684405;48105914;Cité Judiciaire;citejudiciaire;
BUS;2_3717;-1837600;48153985;Maison Neuve;maisonneuve;
BUS;2_1584;-1702883;48111765;Marbeuf;marbeuf;
BUS;2_1585;-1654349;48088048;Le Blosne;leblosne;
BUS;2_4610;-1627647;48199182;Chopinais;chopinais;
BUS;2_3924;-1696920;47999911;Bois Esnault;boisesnault;
BUS;2_4211;-1790500;48052453;Calvaire;calvaire;
BUS;2_2440;-1655548;48178786;Renaudais;renaudais;
BUS;2_2441;-1650000;48184954;Mézières;mezieres;
BUS;2_4210;-1790169;48054738;Alfred de Musset;alfreddemusset;
BUS;2_1189;-1705639;48116032;Languedoc;languedoc;
BUS;2_1188;-1702086;48114984;La Salle;lasalle;
BUS;2_4209;-1783709;48054081;Avenir;avenir;
BUS;2_3724;-1834041;48153843;Clos des Cerisiers;closdescerisiers;
BUS;2_2438;-1650097;48184986;Mézières;mezieres;
BUS;2_1195;-1685004;48117760;Legraverend;legraverend;
BUS;2_4208;-1776363;48057761;Grippay;grippay;
BUS;2_2437;-1639283;48181572;Betton Centre;bettoncentre;
BUS;2_1196;-1682319;48117205;Dinan;dinan;
BUS;2_4207;-1772380;48063395;Mare Doux;maredoux;
BUS;2_2436;-1639539;48175901;Betton Rue de Rennes;bettonruederennes;
BUS;2_1197;-1673256;48116402;Sévigné;sevigne;
BUS;2_4206;-1772432;48063230;Mare Doux;maredoux;
BUS;2_3723;-1837814;48154060;Maison Neuve;maisonneuve;
BUS;2_2435;-1637217;48183059;Mozart;mozart;
BUS;2_1198;-1668887;48116314;George Sand;georgesand;
BUS;2_4205;-1776316;48058141;Grippay;grippay;
BUS;2_2434;-1633193;48186354;J.-Sébastien Bach;jsebastienbach;
BUS;2_1191;-1704723;48115573;Languedoc;languedoc;
BUS;2_4204;-1783849;48053995;Avenir;avenir;
BUS;2_2433;-1626077;48190357;Gentilhommière;gentilhommiere;
BUS;2_1192;-1701297;48114890;La Salle;lasalle;
BUS;2_4203;-1790000;48055097;Alfred de Musset;alfreddemusset;
BUS;2_2432;-1633253;48186330;J.-Sébastien Bach;jsebastienbach;
BUS;2_1193;-1698021;48113776;Maison Diocésaine;maisondiocesaine;
BUS;2_4202;-1790702;48052012;Calvaire;calvaire;
BUS;2_2431;-1637217;48183059;Mozart;mozart;
BUS;2_1194;-1687201;48118210;Anatole France;anatolefrance;
BUS;2_1577;-1661041;48086706;Triangle;triangle;
BUS;2_1190;-1708252;48117406;Villejean-Churchill;villejeanchurchill;
BUS;2_1573;-1690298;48097068;Mermoz;mermoz;
BUS;2_1574;-1661142;48090795;Binquenais Le Moine;binquenaislemoine;
BUS;2_2439;-1655863;48178692;Renaudais;renaudais;
BUS;2_1576;-1713677;48122832;Villejean-Anjou;villejeananjou;
BUS;2_1199;-1662900;48116200;Musset Cité U.;mussetciteu;
BUS;2_2450;-1626150;48189803;Gentilhommière;gentilhommiere;
BUS;2_2451;-1629208;48190855;Gentilhommière;gentilhommiere;
